Script: resnet34_corn_afad.py
PyTorch version: 1.11.0+cu102
Device: cuda:1
Learning rate: 0.0005
Batch size: 16

Epoch: 004/050 | Batch 0750/2884 | Loss: 0.3517
Epoch: 004/050 | Batch 0800/2884 | Loss: 0.3118
Epoch: 004/050 | Batch 0850/2884 | Loss: 0.3703
Epoch: 004/050 | Batch 0900/2884 | Loss: 0.3754
Epoch: 004/050 | Batch 0950/2884 | Loss: 0.3291
Epoch: 004/050 | Batch 1000/2884 | Loss: 0.3520
Epoch: 004/050 | Batch 1050/2884 | Loss: 0.2995
Epoch: 004/050 | Batch 1100/2884 | Loss: 0.3389
Epoch: 004/050 | Batch 1150/2884 | Loss: 0.3131
Epoch: 004/050 | Batch 1200/2884 | Loss: 0.3843
Epoch: 004/050 | Batch 1250/2884 | Loss: 0.3444
Epoch: 004/050 | Batch 1300/2884 | Loss: 0.3944
Epoch: 004/050 | Batch 1350/2884 | Loss: 0.3074
Epoch: 004/050 | Batch 1400/2884 | Loss: 0.3761
Epoch: 004/050 | Batch 1450/2884 | Loss: 0.3328
Epoch: 004/050 | Batch 1500/2884 | Loss: 0.3625
Epoch: 004/050 | Batch 1550/2884 | Loss: 0.3840
Epoch: 004/050 | Batch 1600/2884 | Loss: 0.4583
Epoch: 004/050 | Batch 1650/2884 | Loss: 0.4536
Epoch: 004/050 | Batch 1700/2884 | Loss: 0.3346
Epoch: 004/050 | Batch 1750/2884 | Loss: 0.4157
Epoch: 004/050 | Batch 1800/2884 | Loss: 0.2954
Epoch: 004/050 | Batch 1850/2884 | Loss: 0.4208
Epoch: 004/050 | Batch 1900/2884 | Loss: 0.3153
Epoch: 004/050 | Batch 1950/2884 | Loss: 0.4331
Epoch: 004/050 | Batch 2000/2884 | Loss: 0.4116
Epoch: 004/050 | Batch 2050/2884 | Loss: 0.4393
Epoch: 004/050 | Batch 2100/2884 | Loss: 0.3427
Epoch: 004/050 | Batch 2150/2884 | Loss: 0.3990
Epoch: 004/050 | Batch 2200/2884 | Loss: 0.3206
Epoch: 004/050 | Batch 2250/2884 | Loss: 0.3566
Epoch: 004/050 | Batch 2300/2884 | Loss: 0.4436
Epoch: 004/050 | Batch 2350/2884 | Loss: 0.3536
Epoch: 004/050 | Batch 2400/2884 | Loss: 0.3530
Epoch: 004/050 | Batch 2450/2884 | Loss: 0.4094
Epoch: 004/050 | Batch 2500/2884 | Loss: 0.3796
Epoch: 004/050 | Batch 2550/2884 | Loss: 0.3799
Epoch: 004/050 | Batch 2600/2884 | Loss: 0.4047
Epoch: 004/050 | Batch 2650/2884 | Loss: 0.3096
Epoch: 004/050 | Batch 2700/2884 | Loss: 0.4538
Epoch: 004/050 | Batch 2750/2884 | Loss: 0.2966
Epoch: 004/050 | Batch 2800/2884 | Loss: 0.3611
Epoch: 004/050 | Batch 2850/2884 | Loss: 0.4323
MAE Current Valid: 2.94 Ep. 4 | Best Valid: 2.94 Ep. 3
Time elapsed: 8.83 min
Epoch: 005/050 | Batch 0000/2884 | Loss: 0.3434
Epoch: 005/050 | Batch 0050/2884 | Loss: 0.3035
Epoch: 005/050 | Batch 0100/2884 | Loss: 0.4000
Epoch: 005/050 | Batch 0150/2884 | Loss: 0.3337
Epoch: 005/050 | Batch 0200/2884 | Loss: 0.3511
Epoch: 005/050 | Batch 0250/2884 | Loss: 0.3366
Epoch: 005/050 | Batch 0300/2884 | Loss: 0.3534
Epoch: 005/050 | Batch 0350/2884 | Loss: 0.3466
Epoch: 005/050 | Batch 0400/2884 | Loss: 0.3415
Epoch: 005/050 | Batch 0450/2884 | Loss: 0.4665
Epoch: 005/050 | Batch 0500/2884 | Loss: 0.3292
Epoch: 005/050 | Batch 0550/2884 | Loss: 0.3366
Epoch: 005/050 | Batch 0600/2884 | Loss: 0.3566
Epoch: 005/050 | Batch 0650/2884 | Loss: 0.3332
Epoch: 005/050 | Batch 0700/2884 | Loss: 0.3194
Epoch: 005/050 | Batch 0750/2884 | Loss: 0.2943
Epoch: 005/050 | Batch 0800/2884 | Loss: 0.3437
Epoch: 005/050 | Batch 0850/2884 | Loss: 0.3412
Epoch: 005/050 | Batch 0900/2884 | Loss: 0.3415
Epoch: 005/050 | Batch 0950/2884 | Loss: 0.3971
Epoch: 005/050 | Batch 1000/2884 | Loss: 0.2816
Epoch: 005/050 | Batch 1050/2884 | Loss: 0.3730
